RX Date/Time,Packet Cnt(field 1),Status(field 2),IsCameraOn(field 3),IsMotorOn(field 4),IsBuzzerOn(field 5),Accelerometer X(field 6),Accelerometer Y(field 7),Accelerometer Z(field 8),Gyro X(field 9),Gyro Y(field 10),Gyro Z(field 11),Temperature(field 12),Pressure(field 13),Altitude(field 14),Latitude(field 15),Longitude(field 16),Altitude(field 17)
2024/08/08/ 14:21:13::063,104,0,0,0,0,8.12,4.82,0.47,59.51,304.10,229.53,37.18,0.99,66.65,0.00,0.00,0.00
2024/08/08/ 14:21:14::073,105,0,0,0,0,8.13,4.85,0.46,60.33,300.53,230.37,37.19,0.99,67.08,0.00,0.00,0.00
2024/08/08/ 14:21:15::044,106,0,0,0,0,8.14,4.83,0.47,62.33,293.31,231.97,37.22,0.99,67.00,0.00,0.00,0.00
2024/08/08/ 14:21:16::058,107,0,0,0,0,8.14,4.86,0.46,63.48,289.81,232.96,37.22,0.99,67.60,0.00,0.00,0.00
2024/08/08/ 14:21:17::081,108,0,0,0,0,8.14,4.84,0.47,64.48,286.18,233.69,37.25,0.99,67.09,0.00,0.00,0.00
2024/08/08/ 14:21:18::055,109,0,0,0,0,8.15,4.83,0.47,65.32,282.69,234.84,37.25,0.99,67.09,0.00,0.00,0.00
2024/08/08/ 14:21:19::077,110,0,0,0,0,8.14,4.83,0.46,66.29,279.18,235.76,37.25,0.99,67.09,0.00,0.00,0.00
2024/08/08/ 14:21:20::083,111,0,0,0,0,8.14,4.83,0.47,67.22,275.86,236.78,37.25,0.99,67.09,0.00,0.00,0.00
2024/08/08/ 14:21:21::075,112,0,0,0,0,8.14,4.87,0.46,68.11,272.64,238.04,37.25,0.99,67.09,0.00,0.00,0.00
2024/08/08/ 14:21:22::086,113,0,0,0,0,8.29,4.54,0.42,69.74,269.37,236.99,37.31,0.99,66.51,0.00,0.00,0.00
2024/08/08/ 14:21:23::070,114,0,0,0,0,8.31,4.54,0.39,70.77,265.81,239.07,37.34,0.99,67.46,0.00,0.00,0.00
2024/08/08/ 14:21:24::073,115,0,0,0,0,8.22,4.69,0.40,73.22,259.57,241.61,37.35,0.99,67.89,0.00,0.00,0.00
2024/08/08/ 14:21:25::101,116,0,0,0,0,8.22,4.69,0.40,74.16,256.07,242.54,37.36,0.99,66.95,0.00,0.00,0.00
2024/08/08/ 14:21:26::068,117,0,0,0,0,8.21,4.70,0.39,75.13,252.56,243.68,37.36,0.99,66.95,0.00,0.00,0.00
2024/08/08/ 14:21:27::084,118,0,0,0,0,8.22,4.69,0.38,76.11,249.12,244.60,37.36,0.99,66.95,0.00,0.00,0.00
2024/08/08/ 14:21:28::090,119,0,0,0,0,8.23,4.68,0.40,76.93,245.52,245.85,37.36,0.99,66.95,0.00,0.00,0.00
2024/08/08/ 14:21:29::085,120,0,0,0,0,8.22,4.69,0.40,77.95,241.82,246.68,37.36,0.99,66.95,0.00,0.00,0.00
2024/08/08/ 14:21:30::084,121,0,0,0,0,8.22,4.70,0.38,78.86,238.44,247.66,37.45,0.99,67.06,0.00,0.00,0.00
